EssentialPIM 6.56  2015/11/19 1:08
09:29:51.912  6748  gbak:readied database C:\Users\a.kaida.junichi\AppData\Roaming\EssentialPIM\test.epim for backup 
09:29:51.912  6748  gbak:creating file C:\Users\a.kaida.junichi\AppData\Roaming\EssentialPIM\test.backup_20160817_0929.epim 
09:29:51.916  6748  gbak:starting transaction 
09:29:51.916  6748  gbak:database C:\Users\a.kaida.junichi\AppData\Roaming\EssentialPIM\test.epim has a page size of 4096 bytes. 
09:29:51.916  6748  gbak:writing domains 
09:29:51.916  6748  gbak:    writing domain DIDITEM 
09:29:51.916  6748  gbak:    writing domain DIDPARENT 
09:29:51.916  6748  gbak:    writing domain DSTATUS 
09:29:51.916  6748  gbak:    writing domain DIDUSER 
09:29:51.916  6748  gbak:    writing domain DACCESS 
09:29:51.916  6748  gbak:    writing domain RDB$1 
09:29:51.916  6748  gbak:    writing domain RDB$2 
09:29:51.916  6748  gbak:    writing domain RDB$3 
09:29:51.916  6748  gbak:    writing domain RDB$4 
09:29:51.916  6748  gbak:    writing domain RDB$5 
09:29:51.916  6748  gbak:    writing domain RDB$6 
09:29:51.916  6748  gbak:    writing domain RDB$7 
09:29:51.916  6748  gbak:    writing domain RDB$8 
09:29:51.916  6748  gbak:    writing domain RDB$9 
09:29:51.916  6748  gbak:    writing domain RDB$10 
09:29:51.916  6748  gbak:    writing domain RDB$11 
09:29:51.916  6748  gbak:    writing domain RDB$12 
09:29:51.916  6748  gbak:    writing domain RDB$13 
09:29:51.916  6748  gbak:    writing domain RDB$14 
09:29:51.916  6748  gbak:    writing domain RDB$15 
09:29:51.916  6748  gbak:    writing domain RDB$16 
09:29:51.916  6748  gbak:    writing domain RDB$17 
09:29:51.916  6748  gbak:    writing domain RDB$18 
09:29:51.916  6748  gbak:    writing domain RDB$19 
09:29:51.916  6748  gbak:    writing domain RDB$20 
09:29:51.916  6748  gbak:    writing domain RDB$21 
09:29:51.916  6748  gbak:    writing domain RDB$22 
09:29:51.916  6748  gbak:    writing domain RDB$23 
09:29:51.918  6748  gbak:    writing domain RDB$24 
09:29:51.918  6748  gbak:    writing domain RDB$25 
09:29:51.918  6748  gbak:    writing domain RDB$26 
09:29:51.918  6748  gbak:    writing domain RDB$27 
09:29:51.918  6748  gbak:    writing domain RDB$28 
09:29:51.918  6748  gbak:    writing domain RDB$29 
09:29:51.918  6748  gbak:    writing domain RDB$30 
09:29:51.918  6748  gbak:    writing domain RDB$31 
09:29:51.918  6748  gbak:    writing domain RDB$32 
09:29:51.918  6748  gbak:    writing domain RDB$33 
09:29:51.918  6748  gbak:    writing domain RDB$34 
09:29:51.918  6748  gbak:    writing domain RDB$35 
09:29:51.918  6748  gbak:    writing domain RDB$36 
